Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
326,UNHPL,30.17,462.30,474.00,458.00,470.00,470,0,0.00,466.57,"202,707.00",468.60,"94,577,924.60",574,1.4,16,0.3,3.49,0.73,554.70,270.00,
327,UNLB,34.77,"1,918.00","1,918.00","1,881.00","1,915.00","1,915.00",0,0,"1,896.28",263,"1,918.00","498,720.50",26,-3,37,-0.16,1.97,0.98,"2,888.60","1,818.40",
328,UPCL,26.6,362.4,365,358,361.1,361.1,0,0,361.39,"106,510.00",359.00,"38,491,958.60",305,2.1,7,0.58,1.96,-0.08,489,265.2,
329,UPPER,38.98,172.5,175.6,172,174,174,0,0,173.62,"58,281.00",174.00,"10,118,945.00",364,0,3.6,0,2.09,0.22,228,166,
330,USHEC,35.58,460,464.9,450,460,460,0,0,456.39,"23,135.00",458.90,"10,558,517.50",143,1.1,14.9,0.24,3.31,0.79,752,410,
331,USHL,28.63,831.10,840.00,816.00,838.00,838,0,0.00,829.81,"11,807.00",848.00,"9,797,518.90",135,-10,24,-1.18,2.94,0.98,945.00,588.00,
332,USLB,35.8,"1,452.00","1,481.00","1,452.00","1,467.00","1,467.00",0,0,"1,462.81","5,100.00","1,465.00","7,460,315.70",129,2,29,0.14,2,0.29,"2,750.00","1,438.00",
333,VLBS,45.63,765,780,758,770,770,0,0,768.28,"3,668.00",765.00,"2,818,046.30",83,5,22,0.65,2.9,0.22,"1,008.00",737,
334,VLUCL,41.41,577.00,577.00,563.10,568.10,568.1,0,0.00,569.14,"7,275.00",566.00,"4,140,502.30",130,2.1,13.9,0.37,2.47,-0.18,802.00,516.00,
335,WNLB,47.07,"1,660.00","1,789.00","1,629.00","1,757.00","1,757.00",0,0,"1,726.75","10,819.00","1,629.20","18,681,750.40",421,127.8,160,7.84,9.82,1.72,"4,271.00","1,242.10",
