Transact No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026032904044884,NGPL,17,34,5000.0,468.0,2340000.0
2026032904044883,NGPL,101,34,5000.0,468.0,2340000.0
2026032904044882,NGPL,34,34,425.0,468.0,198900.0
2026032904044881,NGPL,40,34,500.0,468.0,234000.0
2026032904044880,NGPL,32,34,1000.0,468.0,468000.0
2026032904044879,NGPL,17,34,20.0,468.0,9360.0
2026032904044878,NGPL,50,34,996.0,468.0,466128.0
2026032904044877,NGPL,47,34,100.0,468.0,46800.0
2026032904044876,NGPL,14,34,1005.0,468.0,470340.0
2026032904044875,NGPL,10,34,100.0,468.4,46840.0
2026032904044874,NGPL,32,34,1000.0,468.5,468500.0
2026032904044873,NGPL,32,34,1000.0,468.5,468500.0
2026032904044872,NGPL,88,34,100.0,469.0,46900.0
2026032904044871,NGPL,38,34,100.0,469.0,46900.0
2026032904044870,NGPL,33,34,100.0,469.0,46900.0
2026032904044869,NGPL,74,34,500.0,469.0,234500.0
2026032904044868,NGPL,38,34,50.0,469.0,23450.0
2026032904044867,NGPL,57,34,200.0,469.0,93800.0
2026032904044316,AHPC,91,32,100.0,304.1,30410.000000000004
2026032904043957,RADHI,34,42,99.0,870.0,86130.0
2026032904043956,RADHI,89,42,115.0,870.0,100050.0
2026032904043955,RADHI,50,42,36.0,870.0,31320.0
2026032904043954,SSHL,36,1,42.0,232.2,9752.4
2026032904043953,PMHPL,42,7,37.0,378.0,13986.0
2026032904043952,PMHPL,74,7,13.0,378.1,4915.3
2026032904043951,UAIL,19,16,50.0,476.0,23800.0
2026032904043950,UAIL,41,16,57.0,476.0,27132.0
2026032904042823,HDHPC,17,50,200.0,240.0,48000.0
2026032904042822,HDHPC,17,45,100.0,239.9,23990.0
2026032904042821,HDHPC,34,58,185.0,239.5,44307.5
2026032904042820,HDHPC,54,58,15.0,239.5,3592.5
2026032904042819,MHNL,58,48,320.0,296.0,94720.0
2026032904042818,AKPL,58,58,12.0,292.5,3510.0
2026032904042817,AKPL,32,58,25.0,292.5,7312.5
2026032904042765,JBLB,38,71,18.0,1362.0,24516.0
2026032904042764,AHPC,36,32,520.0,304.9,158548.0
2026032904042763,UAIL,49,4,80.0,476.0,38080.0
2026032904042762,UMRH,14,58,10.0,563.0,5630.0
2026032904042761,SSHL,25,19,156.0,232.3,36238.8
2026032904042553,HDHPC,25,35,672.0,239.2,160742.4
