Transact No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026011201012816,SAGAR,-,-,100,2010.0,201000.0
2026011201012815,SRLI,-,-,100,394.0,39400.0
2026011201012814,BHCL,-,-,10,542.0,5420.0
2026011201012813,BHCL,-,-,20,542.0,10840.0
2026011201012812,LSL,-,-,200,213.8,42760.0
2026011201012811,BANDIPUR,-,-,10,846.0,8460.0
2026011201012810,OMPL,-,-,100,1316.0,131600.0
2026011201012809,OMPL,-,-,100,1317.0,131700.0
2026011201012808,OMPL,-,-,10,1319.0,13190.0
2026011201012807,OMPL,-,-,40,1319.0,52760.0
2026011201012806,OMPL,-,-,10,1319.1,13191.0
2026011201012805,NESDO,-,-,11,1487.0,16357.0
2026011201012804,SRLI,-,-,11,394.0,4334.0
2026011201012803,SARBTM,-,-,35,883.0,30905.0
2026011201012802,HBL,-,-,10,188.2,1882.0
2026011201012801,DHEL,-,-,50,660.0,33000.0
2026011201012800,DHEL,-,-,300,660.0,198000.0
2026011201012799,DHEL,-,-,115,660.1,75911.5
2026011201012798,SNLI,-,-,3000,474.0,1422000.0
2026011201012797,BHCL,-,-,80,542.1,43368.0
2026011201012796,KBL,-,-,40,179.0,7160.0
2026011201012795,HBL,-,-,10,188.2,1882.0
2026011201012794,BHCL,-,-,10,542.1,5421.0
2026011201012793,BUNGAL,-,-,10,647.1,6471.0
2026011201012792,DHEL,-,-,10,660.1,6601.0
2026011201012791,SYPNL,-,-,35,1359.9,47596.5
2026011201012790,SYPNL,-,-,200,1359.9,271980.0
2026011201012789,SYPNL,-,-,10,1359.9,13599.0
2026011201012788,SYPNL,-,-,10,1359.8,13598.0
2026011201012787,SYPNL,-,-,10,1359.0,13590.0
2026011201012786,SYPNL,-,-,100,1359.0,135900.0
2026011201012785,SYPNL,-,-,10,1358.0,13580.0
2026011201012784,SYPNL,-,-,10,1358.0,13580.0
2026011201012783,SYPNL,-,-,10,1357.0,13570.0
2026011201012782,SYPNL,-,-,10,1357.0,13570.0
2026011201012781,SYPNL,-,-,15,1357.0,20355.0
2026011201012780,SYPNL,-,-,10,1356.0,13560.0
2026011201012779,SAGAR,-,-,10,2009.0,20090.0
2026011201012778,BHCL,-,-,20,542.1,10842.0
2026011201012777,BANDIPUR,-,-,500,847.0,423500.0
2026011201012776,BANDIPUR,-,-,300,847.0,254100.0
2026011201012775,BANDIPUR,-,-,16,847.0,13552.0
2026011201012774,BANDIPUR,-,-,382,847.1,323592.2
2026011201012773,BANDIPUR,-,-,80,847.3,67784.0
2026011201012772,SYPNL,-,-,10,1355.0,13550.0
2026011201012771,BHCL,-,-,10,542.1,5421.0
2026011201012770,SAGAR,-,-,10,2010.0,20100.0
2026011201012769,BHCL,-,-,10,542.1,5421.0
2026011201012768,BANDIPUR,-,-,10,847.3,8473.0
2026011201012767,DHEL,-,-,10,660.1,6601.0
2026011201012766,DHEL,-,-,300,660.1,198030.0
2026011201012765,NIMB,-,-,43,192.0,8256.0
2026011201012764,ADBL,-,-,15,299.0,4485.0
2026011201012763,ADBL,-,-,10,299.1,2991.0
2026011201012762,SAIL,-,-,41,1067.7,43775.7
2026011201012761,SAIL,-,-,100,1070.0,107000.0
2026011201012760,SAIL,-,-,340,1070.0,363800.0
2026011201012759,SAIL,-,-,40,1070.0,42800.0
2026011201012758,SAIL,-,-,200,1070.0,214000.0
2026011201012742,BANDIPUR,-,-,10,847.7,8477.0
2026011201012741,SYPNL,-,-,10,1355.0,13550.0
2026011201012740,BHCL,-,-,10,542.1,5421.0
2026011201012739,DHEL,-,-,100,660.1,66010.0
2026011201012738,HBL,-,-,92,188.2,17314.4
2026011201012737,HBL,-,-,10,188.3,1883.0
2026011201012736,HBL,-,-,427,188.3,80404.1
2026011201012735,BHCL,-,-,10,542.1,5421.0
2026011201012734,TTL,-,-,10,845.4,8454.0
2026011201012733,SYPNL,-,-,40,1355.0,54200.0
2026011201012732,SAGAR,-,-,10,2009.0,20090.0
2026011201012731,HBL,-,-,10,188.3,1883.0
2026011201012730,SWASTIK,-,-,10,2900.0,29000.0
2026011201012729,BUNGAL,-,-,10,647.1,6471.0
2026011201012728,BHCL,-,-,10,542.1,5421.0
2026011201012727,KSY,-,-,200,8.97,1794.0
2026011201012726,LSL,-,-,56,213.8,11972.8
2026011201012725,HBL,-,-,163,188.3,30692.9
2026011201012724,HBL,-,-,90,188.5,16965.0
2026011201012723,HIMSTAR,-,-,10,935.0,9350.0
2026011201012722,SAIL,-,-,14,1071.1,14995.4
2026011201012721,SAIL,-,-,100,1072.1,107210.0
2026011201012720,SAIL,-,-,100,1072.1,107210.0
2026011201012719,SAIL,-,-,70,1072.1,75047.0
2026011201012718,SAIL,-,-,100,1073.0,107300.0
2026011201012717,SAIL,-,-,36,1074.0,38664.0
2026011201012716,SAIL,-,-,20,1074.0,21480.0
2026011201012715,SAIL,-,-,60,1075.0,64500.0
2026011201012714,JHAPA,-,-,55,1440.0,79200.0
2026011201012713,JHAPA,-,-,10,1440.0,14400.0
2026011201012712,JHAPA,-,-,20,1438.0,28760.0
2026011201012711,JHAPA,-,-,10,1437.0,14370.0
2026011201012710,JHAPA,-,-,50,1437.0,71850.0
2026011201012709,BANDIPUR,-,-,10,847.7,8477.0
2026011201012708,PURE,-,-,10,1049.0,10490.0
2026011201012707,SWASTIK,-,-,10,2900.0,29000.0
2026011201012706,SRLI,-,-,12,394.0,4728.0
2026011201012705,SYPNL,-,-,10,1356.0,13560.0
2026011201012704,EBL,-,-,30,658.0,19740.0
2026011201012703,SYPNL,-,-,10,1356.0,13560.0
2026011201012702,SYPNL,-,-,10,1356.0,13560.0
2026011201012701,HBL,-,-,10,188.5,1885.0
2026011201012700,SYPNL,-,-,50,1356.0,67800.0
2026011201012699,DHEL,-,-,385,660.1,254138.5
2026011201012698,DHEL,-,-,15,660.5,9907.5
2026011201012697,CZBIL,-,-,200,197.1,39420.0
2026011201012696,BHCL,-,-,10,542.1,5421.0
2026011201012695,HBL,-,-,10,188.5,1885.0
2026011201012694,BHCL,-,-,30,542.3,16269.0
2026011201012693,NABIL,-,-,231,489.9,113166.9
2026011201012692,NABIL,-,-,269,489.9,131783.1
2026011201012691,BUNGAL,-,-,50,647.5,32375.0
2026011201012690,SYPNL,-,-,10,1356.0,13560.0
2026011201012689,SAIL,-,-,585,1076.0,629460.0
2026011201012688,SAIL,-,-,20,1077.0,21540.0
2026011201012687,SAIL,-,-,140,1077.0,150780.0
2026011201012686,SAIL,-,-,80,1077.2,86176.0
2026011201012685,SAIL,-,-,175,1078.0,188650.0
2026011201012684,TTL,-,-,10,846.0,8460.0
2026011201012683,BHCL,-,-,100,542.3,54230.0
2026011201012682,BUNGAL,-,-,100,647.5,64750.0
2026011201012681,DHEL,-,-,10,660.5,6605.0
2026011201012680,BANDIPUR,-,-,10,847.3,8473.0
2026011201012679,DHEL,-,-,30,660.5,19815.0
2026011201012678,SYPNL,-,-,10,1357.0,13570.0
2026011201012677,BANDIPUR,-,-,75,847.3,63547.5
2026011201012676,BANDIPUR,-,-,50,847.5,42375.0
2026011201012675,BANDIPUR,-,-,75,847.6,63570.0
2026011201012674,SWASTIK,-,-,10,2900.0,29000.0
2026011201012673,TTL,-,-,10,846.0,8460.0
2026011201012672,SAIL,-,-,75,1078.0,80850.0
2026011201012671,SAIL,-,-,280,1078.0,301840.0
2026011201012670,SAIL,-,-,80,1078.3,86264.0
2026011201012669,SAIL,-,-,430,1080.0,464400.0
2026011201012668,SAIL,-,-,30,1080.1,32403.0
2026011201012667,SAIL,-,-,105,1080.1,113410.5
2026011201012666,BANDIPUR,-,-,10,847.6,8476.0
2026011201012665,BHCL,-,-,20,542.5,10850.0
2026011201012664,SYPNL,-,-,10,1356.0,13560.0
2026011201012663,SYPNL,-,-,10,1356.0,13560.0
2026011201012662,SAIL,-,-,10,1080.1,10801.0
2026011201012661,BANDIPUR,-,-,15,847.6,12714.0
